fomc_date,is_emergency,ticker,event_day,date,return,abs_return
2014-01-29,False,SPY,-2,2014-01-27,-0.004919251416037662,0.004919251416037662
2014-01-29,False,SPY,-1,2014-01-28,0.005954793832332328,0.005954793832332328
2014-01-29,False,SPY,0,2014-01-29,-0.00960518875497085,0.00960518875497085
2014-01-29,False,SPY,1,2014-01-30,0.01060044860063969,0.01060044860063969
2014-01-29,False,SPY,2,2014-01-31,-0.005858411408735442,0.005858411408735442
2014-01-29,False,XLE,-2,2014-01-27,-0.0035574889747878036,0.0035574889747878036
2014-01-29,False,XLE,-1,2014-01-28,0.007616320349228989,0.007616320349228989
2014-01-29,False,XLE,0,2014-01-29,-0.005550977097759202,0.005550977097759202
2014-01-29,False,XLE,1,2014-01-30,0.003206701689394409,0.003206701689394409
2014-01-29,False,XLE,2,2014-01-31,-0.01290403636241455,0.01290403636241455
2014-01-29,False,XLF,-2,2014-01-27,-0.0061582698029115646,0.0061582698029115646
2014-01-29,False,XLF,-1,2014-01-28,0.013346025821364238,0.013346025821364238
2014-01-29,False,XLF,0,2014-01-29,-0.011759168310192192,0.011759168310192192
2014-01-29,False,XLF,1,2014-01-30,0.014278887728388368,0.014278887728388368
2014-01-29,False,XLF,2,2014-01-31,-0.011731577849622754,0.011731577849622754
2014-01-29,False,XLK,-2,2014-01-27,-0.009393732451497216,0.009393732451497216
2014-01-29,False,XLK,-1,2014-01-28,-0.00603445658266033,0.00603445658266033
2014-01-29,False,XLK,0,2014-01-29,-0.007805737397300061,0.007805737397300061
2014-01-29,False,XLK,1,2014-01-30,0.01223782014502528,0.01223782014502528
2014-01-29,False,XLK,2,2014-01-31,0.002302763744741254,0.002302763744741254
2014-01-29,False,XLP,-2,2014-01-27,-0.004098316557892279,0.004098316557892279
2014-01-29,False,XLP,-1,2014-01-28,0.007746300754933211,0.007746300754933211
2014-01-29,False,XLP,0,2014-01-29,-0.017535419733521018,0.017535419733521018
2014-01-29,False,XLP,1,2014-01-30,0.0014669329182246393,0.0014669329182246393
2014-01-29,False,XLP,2,2014-01-31,-0.004882831235591301,0.004882831235591301
2014-01-29,False,XLRE,-2,2014-01-27,,
2014-01-29,False,XLRE,-1,2014-01-28,,
2014-01-29,False,XLRE,0,2014-01-29,,
2014-01-29,False,XLRE,1,2014-01-30,,
2014-01-29,False,XLRE,2,2014-01-31,,
2014-01-29,False,XLU,-2,2014-01-27,0.0023696722925918845,0.0023696722925918845
